NmeComp,Timestamp,Value,Hour,Day
BoomCylinder_LD,2022-04-20 13:00:00,40.925,13,2022-04-20
BoomCylinder_LD,2022-04-20 14:00:00,43.94,14,2022-04-20
BoomCylinder_LD,2022-04-20 15:00:00,57.975,15,2022-04-20
BoomCylinder_LD,2022-04-20 16:00:00,59.370000000000005,16,2022-04-20
BoomCylinder_LD,2022-04-20 17:00:00,61.879999999999995,17,2022-04-20
BoomCylinder_LD,2022-04-20 18:00:00,54.364999999999995,18,2022-04-20
BoomCylinder_LD,2022-04-20 19:00:00,49.035000000000004,19,2022-04-20
BoomCylinder_LD,2022-04-20 20:00:00,36.88,20,2022-04-20
BoomCylinder_LD,2022-04-20 21:00:00,56.004999999999995,21,2022-04-20
BoomCylinder_LD,2022-04-20 22:00:00,59.364999999999995,22,2022-04-20
BoomCylinder_LD,2022-04-20 23:00:00,61.2,23,2022-04-20
BoomCylinder_LD,2022-04-21 00:00:00,59.910000000000004,0,2022-04-21
BoomCylinder_LD,2022-04-21 01:00:00,60.6,1,2022-04-21
BoomCylinder_LD,2022-04-21 02:00:00,59.879999999999995,2,2022-04-21
BoomCylinder_LD,2022-04-21 03:00:00,61.19500000000001,3,2022-04-21
BoomCylinder_LD,2022-04-21 04:00:00,52.645,4,2022-04-21
BoomCylinder_LD,2022-04-21 05:00:00,60.660000000000004,5,2022-04-21
BoomCylinder_LD,2022-04-21 06:00:00,59.92,6,2022-04-21
BoomCylinder_LD,2022-04-21 07:00:00,49.28,7,2022-04-21
BoomCylinder_LD,2022-04-21 08:00:00,38.964999999999996,8,2022-04-21
BoomCylinder_LD,2022-04-21 09:00:00,34.94,9,2022-04-21
BoomCylinder_LD,2022-04-21 10:00:00,51.27,10,2022-04-21
BoomCylinder_LD,2022-04-21 11:00:00,60.325,11,2022-04-21
BoomCylinder_LD,2022-04-21 12:00:00,58.144999999999996,12,2022-04-21
BoomCylinder_LD,2022-04-21 13:00:00,54.135000000000005,13,2022-04-21
BoomCylinder_LD,2022-04-21 14:00:00,43.46,14,2022-04-21
BoomCylinder_LD,2022-04-21 15:00:00,30.28,15,2022-04-21
BoomCylinder_LD,2022-04-21 16:00:00,31.605,16,2022-04-21
BoomCylinder_LD,2022-04-21 17:00:00,55.004999999999995,17,2022-04-21
BoomCylinder_LD,2022-04-21 18:00:00,60.36,18,2022-04-21
BoomCylinder_LD,2022-04-21 19:00:00,53.57000000000001,19,2022-04-21
BoomCylinder_LD,2022-04-21 20:00:00,36.255,20,2022-04-21
BoomCylinder_LD,2022-04-21 21:00:00,54.575,21,2022-04-21
BoomCylinder_LD,2022-04-21 22:00:00,61.629999999999995,22,2022-04-21
BoomCylinder_LD,2022-04-21 23:00:00,62.864999999999995,23,2022-04-21
BoomCylinder_LD,2022-04-22 00:00:00,60.975,0,2022-04-22
BoomCylinder_LD,2022-04-22 01:00:00,61.475,1,2022-04-22
BoomCylinder_LD,2022-04-22 02:00:00,61.964999999999996,2,2022-04-22
BoomCylinder_LD,2022-04-22 03:00:00,61.904999999999994,3,2022-04-22
BoomCylinder_LD,2022-04-22 04:00:00,52.760000000000005,4,2022-04-22
BoomCylinder_LD,2022-04-22 05:00:00,61.315,5,2022-04-22
BoomCylinder_LD,2022-04-22 06:00:00,62.455,6,2022-04-22
BoomCylinder_LD,2022-04-22 07:00:00,49.11,7,2022-04-22
BoomCylinder_LD,2022-04-22 08:00:00,41.275,8,2022-04-22
BoomCylinder_LD,2022-04-22 09:00:00,60.154999999999994,9,2022-04-22
BoomCylinder_LD,2022-04-22 10:00:00,61.39,10,2022-04-22
BoomCylinder_LD,2022-04-22 11:00:00,63.125,11,2022-04-22
BoomCylinder_LD,2022-04-22 12:00:00,58.754999999999995,12,2022-04-22
BoomCylinder_LD,2022-04-22 13:00:00,56.489999999999995,13,2022-04-22
BoomCylinder_LD,2022-04-22 14:00:00,62.955,14,2022-04-22
BoomCylinder_LD,2022-04-22 15:00:00,61.654999999999994,15,2022-04-22
BoomCylinder_LD,2022-04-22 16:00:00,61.660000000000004,16,2022-04-22
BoomCylinder_LD,2022-04-22 17:00:00,62.075,17,2022-04-22
BoomCylinder_LD,2022-04-22 18:00:00,54.470000000000006,18,2022-04-22
BoomCylinder_LD,2022-04-22 19:00:00,56.295,19,2022-04-22
BoomCylinder_LD,2022-04-22 20:00:00,38.505,20,2022-04-22
BoomCylinder_LD,2022-04-22 21:00:00,61.58,21,2022-04-22
BoomCylinder_LD,2022-04-22 22:00:00,61.525,22,2022-04-22
BoomCylinder_LD,2022-04-22 23:00:00,62.239999999999995,23,2022-04-22
BoomCylinder_LD,2022-04-23 00:00:00,61.835,0,2022-04-23
BoomCylinder_LD,2022-04-23 01:00:00,60.44,1,2022-04-23
BoomCylinder_LD,2022-04-23 02:00:00,61.125,2,2022-04-23
BoomCylinder_LD,2022-04-23 03:00:00,60.275,3,2022-04-23
BoomCylinder_LD,2022-04-23 04:00:00,55.035000000000004,4,2022-04-23
BoomCylinder_LD,2022-04-23 05:00:00,58.165,5,2022-04-23
BoomCylinder_LD,2022-04-23 06:00:00,60.44,6,2022-04-23
BoomCylinder_LD,2022-04-23 07:00:00,56.225,7,2022-04-23
BoomCylinder_LD,2022-04-23 08:00:00,52.39,8,2022-04-23
BoomCylinder_LD,2022-04-23 09:00:00,58.92999999999999,9,2022-04-23
BoomCylinder_LD,2022-04-23 10:00:00,39.915,10,2022-04-23
BoomCylinder_LD,2022-04-23 11:00:00,32.519999999999996,11,2022-04-23
BoomCylinder_LD,2022-04-23 12:00:00,30.275,12,2022-04-23
BoomCylinder_LD,2022-04-23 13:00:00,28.05,13,2022-04-23
BoomCylinder_LD,2022-04-23 14:00:00,27.939999999999998,14,2022-04-23
BoomCylinder_LD,2022-04-23 15:00:00,27.889999999999997,15,2022-04-23
BoomCylinder_LD,2022-04-23 16:00:00,27.505000000000003,16,2022-04-23
BoomCylinder_LD,2022-04-23 17:00:00,30.564999999999998,17,2022-04-23
BoomCylinder_LD,2022-04-23 18:00:00,30.97,18,2022-04-23
BoomCylinder_LD,2022-04-23 19:00:00,28.24,19,2022-04-23
BoomCylinder_LD,2022-04-23 20:00:00,27.45,20,2022-04-23
BoomCylinder_LD,2022-04-23 21:00:00,54.73,21,2022-04-23
BoomCylinder_LD,2022-04-23 22:00:00,61.56,22,2022-04-23
BoomCylinder_LD,2022-04-23 23:00:00,61.525,23,2022-04-23
BoomCylinder_LD,2022-04-24 00:00:00,62.25,0,2022-04-24
BoomCylinder_LD,2022-04-24 01:00:00,59.98,1,2022-04-24
BoomCylinder_LD,2022-04-24 02:00:00,59.17999999999999,2,2022-04-24
BoomCylinder_LD,2022-04-24 03:00:00,59.67,3,2022-04-24
BoomCylinder_LD,2022-04-24 04:00:00,50.01,4,2022-04-24
BoomCylinder_LD,2022-04-24 05:00:00,52.6,5,2022-04-24
BoomCylinder_LD,2022-04-24 06:00:00,45.485,6,2022-04-24
BoomCylinder_LD,2022-04-24 07:00:00,34.05,7,2022-04-24
BoomCylinder_LD,2022-04-24 08:00:00,38.22,8,2022-04-24
BoomCylinder_LD,2022-04-24 09:00:00,59.254999999999995,9,2022-04-24
BoomCylinder_LD,2022-04-24 10:00:00,60.260000000000005,10,2022-04-24
BoomCylinder_LD,2022-04-24 11:00:00,59.845000000000006,11,2022-04-24
BoomCylinder_LD,2022-04-24 12:00:00,57.510000000000005,12,2022-04-24
BoomCylinder_LD,2022-04-24 13:00:00,40.235,13,2022-04-24
BoomCylinder_LD,2022-04-24 14:00:00,47.405,14,2022-04-24
BoomCylinder_LD,2022-04-24 15:00:00,47.83,15,2022-04-24
BoomCylinder_LD,2022-04-24 16:00:00,60.875,16,2022-04-24
BoomCylinder_LD,2022-04-24 17:00:00,61.9,17,2022-04-24
BoomCylinder_LD,2022-04-24 18:00:00,65.615,18,2022-04-24
BoomCylinder_LD,2022-04-24 19:00:00,50.44,19,2022-04-24
BoomCylinder_LD,2022-04-24 20:00:00,36.125,20,2022-04-24
BoomCylinder_LD,2022-04-24 21:00:00,62.33,21,2022-04-24
BoomCylinder_LD,2022-04-24 22:00:00,64.275,22,2022-04-24
BoomCylinder_LD,2022-04-24 23:00:00,58.67999999999999,23,2022-04-24
BoomCylinder_LD,2022-04-25 00:00:00,47.695,0,2022-04-25
BoomCylinder_LD,2022-04-25 01:00:00,48.230000000000004,1,2022-04-25
BoomCylinder_LD,2022-04-25 02:00:00,54.55,2,2022-04-25
BoomCylinder_LD,2022-04-25 03:00:00,63.14,3,2022-04-25
BoomCylinder_LD,2022-04-25 04:00:00,55.095000000000006,4,2022-04-25
BoomCylinder_LD,2022-04-25 05:00:00,44.265,5,2022-04-25
BoomCylinder_LD,2022-04-25 06:00:00,30.869999999999997,6,2022-04-25
BoomCylinder_LD,2022-04-25 07:00:00,27.76,7,2022-04-25
BoomCylinder_LD,2022-04-25 08:00:00,27.375,8,2022-04-25
BoomCylinder_LD,2022-04-25 09:00:00,27.514999999999997,9,2022-04-25
BoomCylinder_LD,2022-04-25 10:00:00,27.744999999999997,10,2022-04-25
BoomCylinder_LD,2022-04-25 11:00:00,27.865,11,2022-04-25
BoomCylinder_LD,2022-04-25 12:00:00,28.155,12,2022-04-25
BoomCylinder_LD,2022-04-25 13:00:00,28.47,13,2022-04-25
BoomCylinder_LD,2022-04-25 14:00:00,28.5,14,2022-04-25
BoomCylinder_LD,2022-04-25 15:00:00,28.544999999999998,15,2022-04-25
BoomCylinder_LD,2022-04-25 16:00:00,28.525,16,2022-04-25
BoomCylinder_LD,2022-04-25 17:00:00,28.335,17,2022-04-25
BoomCylinder_LD,2022-04-25 18:00:00,41.6,18,2022-04-25
BoomCylinder_LD,2022-04-25 19:00:00,53.98,19,2022-04-25
BoomCylinder_LD,2022-04-25 20:00:00,61.2,20,2022-04-25
BoomCylinder_LD,2022-04-25 21:00:00,53.205,21,2022-04-25
BoomCylinder_LD,2022-04-25 22:00:00,36.485,22,2022-04-25
BoomCylinder_LD,2022-04-25 23:00:00,41.415,23,2022-04-25
