Parametro,Timestamp,Value,NmeComp
Temperature,12-Apr-2022 04:08:52,29.0,MainPumpP1
Temperature,12-Apr-2022 04:11:52,31.6,MainPumpP1
Temperature,12-Apr-2022 04:14:52,36.8,MainPumpP1
Temperature,12-Apr-2022 04:17:52,43.0,MainPumpP1
Temperature,12-Apr-2022 04:20:52,45.9,MainPumpP1
Temperature,12-Apr-2022 04:23:52,46.6,MainPumpP1
Temperature,12-Apr-2022 04:26:52,48.5,MainPumpP1
Temperature,12-Apr-2022 04:29:52,49.2,MainPumpP1
Temperature,12-Apr-2022 04:32:52,48.9,MainPumpP1
Temperature,12-Apr-2022 04:35:52,48.4,MainPumpP1
Temperature,12-Apr-2022 04:38:52,47.5,MainPumpP1
Temperature,12-Apr-2022 04:41:52,46.8,MainPumpP1
Temperature,12-Apr-2022 04:44:52,45.2,MainPumpP1
Temperature,12-Apr-2022 04:47:52,44.6,MainPumpP1
Temperature,12-Apr-2022 04:50:52,44.0,MainPumpP1
Temperature,12-Apr-2022 04:53:52,43.2,MainPumpP1
Temperature,12-Apr-2022 04:56:52,42.9,MainPumpP1
Temperature,12-Apr-2022 04:59:52,42.0,MainPumpP1
Temperature,12-Apr-2022 05:02:52,41.1,MainPumpP1
Temperature,12-Apr-2022 05:05:52,40.1,MainPumpP1
Temperature,12-Apr-2022 05:08:52,38.8,MainPumpP1
Temperature,12-Apr-2022 05:11:52,37.7,MainPumpP1
Temperature,12-Apr-2022 05:14:52,36.7,MainPumpP1
Temperature,12-Apr-2022 05:17:52,35.5,MainPumpP1
Temperature,12-Apr-2022 05:20:52,34.7,MainPumpP1
Temperature,12-Apr-2022 05:23:52,34.2,MainPumpP1
Temperature,12-Apr-2022 05:26:52,33.6,MainPumpP1
Temperature,12-Apr-2022 05:29:52,32.9,MainPumpP1
Temperature,12-Apr-2022 05:32:52,32.4,MainPumpP1
Temperature,12-Apr-2022 05:35:52,31.9,MainPumpP1
Temperature,12-Apr-2022 05:38:52,31.6,MainPumpP1
Temperature,12-Apr-2022 05:41:52,31.3,MainPumpP1
Temperature,12-Apr-2022 05:44:52,30.9,MainPumpP1
Temperature,12-Apr-2022 05:47:52,30.5,MainPumpP1
Temperature,12-Apr-2022 05:50:52,30.0,MainPumpP1
Temperature,12-Apr-2022 05:53:52,29.6,MainPumpP1
Temperature,12-Apr-2022 05:56:52,29.1,MainPumpP1
Temperature,12-Apr-2022 05:59:52,28.7,MainPumpP1
Temperature,12-Apr-2022 06:02:52,28.5,MainPumpP1
Temperature,12-Apr-2022 06:05:52,28.2,MainPumpP1
Temperature,12-Apr-2022 06:08:52,27.8,MainPumpP1
Temperature,12-Apr-2022 06:11:52,27.6,MainPumpP1
Temperature,12-Apr-2022 06:14:52,27.3,MainPumpP1
Temperature,12-Apr-2022 06:17:52,27.1,MainPumpP1
Temperature,12-Apr-2022 06:20:52,26.9,MainPumpP1
Temperature,12-Apr-2022 06:23:52,26.6,MainPumpP1
Temperature,12-Apr-2022 06:26:52,26.4,MainPumpP1
Temperature,12-Apr-2022 06:29:52,26.3,MainPumpP1
Temperature,12-Apr-2022 06:32:52,26.0,MainPumpP1
Temperature,12-Apr-2022 06:35:52,25.8,MainPumpP1
Temperature,12-Apr-2022 06:38:52,25.8,MainPumpP1
Temperature,12-Apr-2022 06:41:52,25.7,MainPumpP1
Temperature,12-Apr-2022 06:44:52,25.6,MainPumpP1
Temperature,12-Apr-2022 06:47:52,25.3,MainPumpP1
Temperature,12-Apr-2022 06:50:52,25.2,MainPumpP1
Temperature,12-Apr-2022 06:53:52,25.1,MainPumpP1
Temperature,12-Apr-2022 06:56:52,24.9,MainPumpP1
Temperature,12-Apr-2022 06:59:52,24.9,MainPumpP1
Temperature,12-Apr-2022 07:02:52,25.0,MainPumpP1
Temperature,12-Apr-2022 07:05:52,24.9,MainPumpP1
Temperature,12-Apr-2022 07:08:52,24.9,MainPumpP1
Temperature,12-Apr-2022 07:11:52,24.8,MainPumpP1
Temperature,12-Apr-2022 07:14:52,24.7,MainPumpP1
Temperature,12-Apr-2022 07:17:52,24.7,MainPumpP1
Temperature,12-Apr-2022 07:20:52,24.7,MainPumpP1
Temperature,12-Apr-2022 07:23:52,24.6,MainPumpP1
Temperature,12-Apr-2022 07:26:52,24.6,MainPumpP1
Temperature,12-Apr-2022 07:29:52,24.5,MainPumpP1
Temperature,12-Apr-2022 07:32:52,24.5,MainPumpP1
Temperature,12-Apr-2022 07:35:52,24.5,MainPumpP1
Temperature,12-Apr-2022 07:38:52,24.5,MainPumpP1
Temperature,12-Apr-2022 07:41:52,24.4,MainPumpP1
Temperature,12-Apr-2022 07:44:52,24.4,MainPumpP1
Temperature,12-Apr-2022 07:47:52,24.3,MainPumpP1
Temperature,12-Apr-2022 07:50:52,24.2,MainPumpP1
Temperature,12-Apr-2022 07:53:52,24.2,MainPumpP1
Temperature,12-Apr-2022 07:56:52,24.2,MainPumpP1
Temperature,12-Apr-2022 07:59:52,24.2,MainPumpP1
Temperature,12-Apr-2022 08:02:52,24.3,MainPumpP1
Temperature,12-Apr-2022 08:05:52,24.3,MainPumpP1
Temperature,12-Apr-2022 08:08:52,24.3,MainPumpP1
Temperature,12-Apr-2022 08:11:52,24.2,MainPumpP1
Temperature,12-Apr-2022 08:14:52,24.2,MainPumpP1
Temperature,12-Apr-2022 08:17:52,24.3,MainPumpP1
Temperature,12-Apr-2022 08:20:52,24.3,MainPumpP1
Temperature,12-Apr-2022 08:23:52,24.3,MainPumpP1
Temperature,12-Apr-2022 08:26:52,24.4,MainPumpP1
Temperature,12-Apr-2022 08:29:52,24.4,MainPumpP1
Temperature,12-Apr-2022 08:32:52,24.5,MainPumpP1
Temperature,12-Apr-2022 08:35:52,24.5,MainPumpP1
Temperature,12-Apr-2022 08:38:52,24.6,MainPumpP1
Temperature,12-Apr-2022 08:41:52,24.6,MainPumpP1
Temperature,12-Apr-2022 08:44:52,24.6,MainPumpP1
Temperature,12-Apr-2022 08:47:52,24.7,MainPumpP1
Temperature,12-Apr-2022 08:50:52,24.7,MainPumpP1
Temperature,12-Apr-2022 08:53:52,24.7,MainPumpP1
Temperature,12-Apr-2022 08:56:52,24.8,MainPumpP1
Temperature,12-Apr-2022 08:59:52,24.8,MainPumpP1
Temperature,12-Apr-2022 09:02:52,24.8,MainPumpP1
Temperature,12-Apr-2022 09:05:52,24.9,MainPumpP1
Temperature,12-Apr-2022 09:08:52,24.9,MainPumpP1
Temperature,12-Apr-2022 09:11:52,25.0,MainPumpP1
Temperature,12-Apr-2022 09:14:52,24.9,MainPumpP1
Temperature,12-Apr-2022 09:17:52,25.0,MainPumpP1
Temperature,12-Apr-2022 09:20:52,25.0,MainPumpP1
Temperature,12-Apr-2022 09:23:52,25.1,MainPumpP1
Temperature,12-Apr-2022 09:26:52,25.1,MainPumpP1
Temperature,12-Apr-2022 09:29:52,25.1,MainPumpP1
Temperature,12-Apr-2022 09:32:52,25.1,MainPumpP1
Temperature,12-Apr-2022 09:35:52,25.2,MainPumpP1
Temperature,12-Apr-2022 09:38:52,25.2,MainPumpP1
Temperature,12-Apr-2022 09:41:52,25.3,MainPumpP1
Temperature,12-Apr-2022 09:44:52,25.2,MainPumpP1
Temperature,12-Apr-2022 09:47:52,25.2,MainPumpP1
Temperature,12-Apr-2022 09:50:52,25.2,MainPumpP1
Temperature,12-Apr-2022 09:53:52,25.2,MainPumpP1
Temperature,12-Apr-2022 09:56:52,25.2,MainPumpP1
