Parametro,Timestamp,Value,NmeComp
AccelerationX,2024-04-12 02:23:16,0.2,MainPumpP1
AccelerationY,2024-04-12 02:23:16,0.2,MainPumpP1
AccelerationZ,2024-04-12 02:26:16,0.2,MainPumpP1
Temperature,2024-04-12 02:26:16,23.9,MainPumpP1
AccelerationY,2024-04-12 02:26:16,0.4,MainPumpP1
AccelerationX,2024-04-12 02:26:16,0.2,MainPumpP1
AccelerationY,2024-04-12 02:29:16,0.3,MainPumpP1
AccelerationX,2024-04-12 02:29:16,0.2,MainPumpP1
Temperature,2024-04-12 02:29:16,23.9,MainPumpP1
AccelerationZ,2024-04-12 02:29:16,0.2,MainPumpP1
AccelerationX,2024-04-12 02:32:16,0.1,MainPumpP1
Temperature,2024-04-12 02:32:16,23.8,MainPumpP1
AccelerationZ,2024-04-12 02:32:16,0.2,MainPumpP1
AccelerationY,2024-04-12 02:32:16,0.2,MainPumpP1
AccelerationX,2024-04-12 02:35:16,0.1,MainPumpP1
AccelerationY,2024-04-12 02:35:16,0.3,MainPumpP1
Temperature,2024-04-12 02:35:16,23.9,MainPumpP1
AccelerationZ,2024-04-12 02:35:16,0.2,MainPumpP1
AccelerationY,2024-04-12 02:38:16,0.3,MainPumpP1
Temperature,2024-04-12 02:38:16,24.0,MainPumpP1
AccelerationZ,2024-04-12 02:38:16,0.2,MainPumpP1
AccelerationX,2024-04-12 02:38:16,0.1,MainPumpP1
Temperature,2024-04-12 02:41:16,24.1,MainPumpP1
Temperature,2024-04-12 02:44:16,24.3,MainPumpP1
Temperature,2024-04-12 02:47:16,24.5,MainPumpP1
Temperature,2024-04-12 02:50:16,24.7,MainPumpP1
Temperature,2024-04-12 02:53:16,24.8,MainPumpP1
Temperature,2024-04-12 02:56:16,24.8,MainPumpP1
Temperature,2024-04-12 02:59:16,24.9,MainPumpP1
Temperature,2024-04-12 03:02:16,24.9,MainPumpP1
Temperature,2024-04-12 03:05:16,24.9,MainPumpP1
Temperature,2024-04-12 03:08:16,24.8,MainPumpP1
Temperature,2024-04-12 03:11:16,24.8,MainPumpP1
Temperature,2024-04-12 03:14:16,24.8,MainPumpP1
Temperature,2024-04-12 03:17:16,24.8,MainPumpP1
Temperature,2024-04-12 03:20:16,24.8,MainPumpP1
Temperature,2024-04-12 03:23:16,24.8,MainPumpP1
Temperature,2024-04-12 03:26:16,24.8,MainPumpP1
Temperature,2024-04-12 03:29:16,24.8,MainPumpP1
Temperature,2024-04-12 03:32:16,24.8,MainPumpP1
Temperature,2024-04-12 03:35:16,24.8,MainPumpP1
Temperature,2024-04-12 03:38:16,24.7,MainPumpP1
Temperature,2024-04-12 03:41:16,24.7,MainPumpP1
Temperature,2024-04-12 03:44:16,24.7,MainPumpP1
Temperature,2024-04-12 03:47:16,24.7,MainPumpP1
Temperature,2024-04-12 03:50:16,24.6,MainPumpP1
Temperature,2024-04-12 03:53:16,24.6,MainPumpP1
Temperature,2024-04-12 03:56:16,24.6,MainPumpP1
Temperature,2024-04-12 03:59:16,24.6,MainPumpP1
AccelerationZ,2024-04-12 04:02:16,0.2,MainPumpP1
AccelerationY,2024-04-12 04:02:16,0.2,MainPumpP1
Temperature,2024-04-12 04:02:16,24.6,MainPumpP1
AccelerationX,2024-04-12 04:02:16,0.2,MainPumpP1
AccelerationZ,2024-04-12 04:05:16,0.2,MainPumpP1
AccelerationX,2024-04-12 04:05:16,0.2,MainPumpP1
AccelerationY,2024-04-12 04:05:16,0.3,MainPumpP1
Temperature,2024-04-12 04:05:16,24.6,MainPumpP1
AccelerationX,2024-04-12 04:08:16,0.2,MainPumpP1
AccelerationY,2024-04-12 04:08:16,0.3,MainPumpP1
AccelerationZ,2024-04-12 04:08:16,0.2,MainPumpP1
Temperature,2024-04-12 04:08:16,24.6,MainPumpP1
Temperature,2024-04-12 04:11:16,24.7,MainPumpP1
AccelerationZ,2024-04-12 04:11:16,0.6,MainPumpP1
AccelerationY,2024-04-12 04:11:16,0.6,MainPumpP1
AccelerationX,2024-04-12 04:11:16,0.5,MainPumpP1
AccelerationZ,2024-04-12 04:14:16,0.8,MainPumpP1
Temperature,2024-04-12 04:14:16,25.9,MainPumpP1
AccelerationY,2024-04-12 04:14:16,0.9,MainPumpP1
AccelerationX,2024-04-12 04:14:16,0.7,MainPumpP1
AccelerationY,2024-04-12 04:17:16,0.4,MainPumpP1
AccelerationX,2024-04-12 04:17:16,0.2,MainPumpP1
Temperature,2024-04-12 04:17:16,30.0,MainPumpP1
AccelerationZ,2024-04-12 04:17:16,0.2,MainPumpP1
AccelerationZ,2024-04-12 04:20:16,1.1,MainPumpP1
AccelerationY,2024-04-12 04:20:16,0.9,MainPumpP1
AccelerationX,2024-04-12 04:20:16,0.8,MainPumpP1
Temperature,2024-04-12 04:20:16,33.6,MainPumpP1
AccelerationY,2024-04-12 04:23:16,0.9,MainPumpP1
AccelerationX,2024-04-12 04:23:16,0.9,MainPumpP1
AccelerationZ,2024-04-12 04:23:16,0.9,MainPumpP1
Temperature,2024-04-12 04:23:16,33.2,MainPumpP1
AccelerationZ,2024-04-12 04:26:16,0.6,MainPumpP1
Temperature,2024-04-12 04:26:16,35.5,MainPumpP1
AccelerationY,2024-04-12 04:26:16,0.8,MainPumpP1
AccelerationX,2024-04-12 04:26:16,0.6,MainPumpP1
AccelerationZ,2024-04-12 04:29:16,0.2,MainPumpP1
AccelerationX,2024-04-12 04:29:16,0.2,MainPumpP1
Temperature,2024-04-12 04:29:16,36.9,MainPumpP1
AccelerationY,2024-04-12 04:29:16,0.3,MainPumpP1
Temperature,2024-04-12 04:32:16,36.7,MainPumpP1
AccelerationY,2024-04-12 04:32:16,0.3,MainPumpP1
AccelerationX,2024-04-12 04:32:16,0.2,MainPumpP1
AccelerationZ,2024-04-12 04:32:16,0.2,MainPumpP1
AccelerationX,2024-04-12 04:35:16,0.2,MainPumpP1
Temperature,2024-04-12 04:35:16,35.5,MainPumpP1
AccelerationZ,2024-04-12 04:35:16,0.2,MainPumpP1
AccelerationY,2024-04-12 04:35:16,0.3,MainPumpP1
AccelerationX,2024-04-12 04:38:16,0.2,MainPumpP1
AccelerationZ,2024-04-12 04:38:16,0.2,MainPumpP1
AccelerationY,2024-04-12 04:38:16,0.3,MainPumpP1
Temperature,2024-04-12 04:38:16,33.9,MainPumpP1
AccelerationY,2024-04-12 04:41:16,0.4,MainPumpP1
AccelerationX,2024-04-12 04:41:16,0.2,MainPumpP1
Temperature,2024-04-12 04:41:16,32.3,MainPumpP1
AccelerationZ,2024-04-12 04:41:16,0.2,MainPumpP1
AccelerationZ,2024-04-12 04:44:16,0.2,MainPumpP1
Temperature,2024-04-12 04:44:16,30.7,MainPumpP1
AccelerationX,2024-04-12 04:44:16,0.2,MainPumpP1
AccelerationY,2024-04-12 04:44:16,0.4,MainPumpP1
AccelerationZ,2024-04-12 04:47:16,0.2,MainPumpP1
AccelerationX,2024-04-12 04:47:16,0.2,MainPumpP1
Temperature,2024-04-12 04:47:16,29.5,MainPumpP1
AccelerationY,2024-04-12 04:47:16,0.3,MainPumpP1
AccelerationZ,2024-04-12 04:50:16,0.2,MainPumpP1
AccelerationX,2024-04-12 04:50:16,0.2,MainPumpP1
Temperature,2024-04-12 04:50:16,28.5,MainPumpP1
AccelerationY,2024-04-12 04:50:16,0.3,MainPumpP1
AccelerationZ,2024-04-12 04:53:16,0.2,MainPumpP1
AccelerationX,2024-04-12 04:53:16,0.1,MainPumpP1
AccelerationY,2024-04-12 04:53:16,0.4,MainPumpP1
Temperature,2024-04-12 04:53:16,27.7,MainPumpP1
Temperature,2024-04-12 04:56:16,27.1,MainPumpP1
Temperature,2024-04-12 04:59:16,26.7,MainPumpP1
Temperature,2024-04-12 05:02:16,26.3,MainPumpP1
Temperature,2024-04-12 05:05:16,26.1,MainPumpP1
Temperature,2024-04-12 05:08:16,25.8,MainPumpP1
Temperature,2024-04-12 05:11:16,25.6,MainPumpP1
Temperature,2024-04-12 05:14:16,25.4,MainPumpP1
Temperature,2024-04-12 05:17:16,25.3,MainPumpP1
Temperature,2024-04-12 05:20:16,25.2,MainPumpP1
Temperature,2024-04-12 05:23:16,25.1,MainPumpP1
Temperature,2024-04-12 05:26:16,25.0,MainPumpP1
Temperature,2024-04-12 05:29:16,25.0,MainPumpP1
Temperature,2024-04-12 05:32:16,24.9,MainPumpP1
Temperature,2024-04-12 05:35:16,24.9,MainPumpP1
Temperature,2024-04-12 05:38:16,24.9,MainPumpP1
Temperature,2024-04-12 05:41:16,24.9,MainPumpP1
Temperature,2024-04-12 05:44:16,24.8,MainPumpP1
Temperature,2024-04-12 05:47:16,24.8,MainPumpP1
Temperature,2024-04-12 05:50:16,24.7,MainPumpP1
Temperature,2024-04-12 05:53:16,24.7,MainPumpP1
Temperature,2024-04-12 05:56:16,24.6,MainPumpP1
Temperature,2024-04-12 05:59:16,24.5,MainPumpP1
Temperature,2024-04-12 06:02:16,24.5,MainPumpP1
Temperature,2024-04-12 06:05:16,24.4,MainPumpP1
Temperature,2024-04-12 06:08:16,24.4,MainPumpP1
Temperature,2024-04-12 06:11:16,24.3,MainPumpP1
Temperature,2024-04-12 06:14:16,24.3,MainPumpP1
Temperature,2024-04-12 06:17:16,24.3,MainPumpP1
Temperature,2024-04-12 06:20:16,24.2,MainPumpP1
Temperature,2024-04-12 06:23:16,24.2,MainPumpP1
Temperature,2024-04-12 06:26:16,24.1,MainPumpP1
Temperature,2024-04-12 06:29:16,24.1,MainPumpP1
