Data;Hora UTC;TEMPERATURA MÁXIMA NA HORA ANT. (AUT) (°C);TEMPERATURA MÍNIMA NA HORA ANT. (AUT) (°C)
22/01/2024;1900 UTC;34,6;32,8
22/01/2024;2000 UTC;34,5;32
22/01/2024;2100 UTC;33;32,3
22/01/2024;2200 UTC;32,3;30,1
22/01/2024;2300 UTC;30,4;28,6
23/01/2024;0000 UTC;29,3;27,4
23/01/2024;0100 UTC;29,3;27,4
23/01/2024;0200 UTC;28,1;26,3
23/01/2024;0300 UTC;27,6;26,3
23/01/2024;0400 UTC;26,4;24,9
23/01/2024;0500 UTC;26,1;24,5
23/01/2024;0600 UTC;25,6;24,2
23/01/2024;0700 UTC;25,7;24,1
23/01/2024;0800 UTC;25;24,4
23/01/2024;0900 UTC;24,8;23,6
23/01/2024;1000 UTC;24,2;23,6
23/01/2024;1100 UTC;27;24,1
23/01/2024;1200 UTC;28,2;26,8
23/01/2024;1300 UTC;29,2;27,6
23/01/2024;1400 UTC;30,4;28,6
23/01/2024;1500 UTC;31,6;30,2
23/01/2024;1600 UTC;30,4;28,6
23/01/2024;1700 UTC;29,6;26,7
23/01/2024;1800 UTC;26,9;25,6
23/01/2024;1900 UTC;25,6;24,6
23/01/2024;2000 UTC;25,4;24,9
23/01/2024;2100 UTC;25,7;25,3
23/01/2024;2200 UTC;25,5;25,1
23/01/2024;2300 UTC;25,2;24,9
24/01/2024;0000 UTC;24,9;24,6
24/01/2024;0100 UTC;25,1;24,6
24/01/2024;0200 UTC;25,1;24,4
24/01/2024;0300 UTC;24,8;24,3
24/01/2024;0400 UTC;25,1;24,4
24/01/2024;0500 UTC;24,7;24
24/01/2024;0600 UTC;24,8;24,2
24/01/2024;0700 UTC;24,8;24,2
24/01/2024;0800 UTC;24,5;23,9
24/01/2024;0900 UTC;24,1;23,7
24/01/2024;1000 UTC;24,1;23,3
24/01/2024;1100 UTC;25,8;23,9
24/01/2024;1200 UTC;27,8;25,8
24/01/2024;1300 UTC;28,7;27,5
24/01/2024;1400 UTC;29,7;28
24/01/2024;1500 UTC;28,7;25
24/01/2024;1600 UTC;27,8;25,2
24/01/2024;1700 UTC;28,5;27,6
24/01/2024;1800 UTC;28;26,3
24/01/2024;1900 UTC;26,4;25,5
24/01/2024;2000 UTC;25,6;24,9
24/01/2024;2100 UTC;25,1;24,4
24/01/2024;2200 UTC;24,4;24,2
24/01/2024;2300 UTC;24,5;24,2
25/01/2024;0000 UTC;24,3;23,9
25/01/2024;0100 UTC;24,4;23,9
25/01/2024;0200 UTC;24,3;23,8
25/01/2024;0300 UTC;24;23,8
25/01/2024;0400 UTC;23,9;23,8
25/01/2024;0500 UTC;24;23,6
25/01/2024;0600 UTC;24,2;23,8
25/01/2024;0700 UTC;24,1;23,7
25/01/2024;0800 UTC;23,8;23,6
25/01/2024;0900 UTC;23,8;23,2
25/01/2024;1000 UTC;23,9;23,6
25/01/2024;1100 UTC;24,9;23,9
25/01/2024;1200 UTC;26,4;24,9
25/01/2024;1300 UTC;27,6;26,4
25/01/2024;1400 UTC;28,9;27,4
25/01/2024;1500 UTC;30,1;28,6
25/01/2024;1600 UTC;30,7;29,5
25/01/2024;1700 UTC;30,5;28,4
25/01/2024;1800 UTC;28,4;24,3
25/01/2024;1900 UTC;24,3;24,1
25/01/2024;2000 UTC;24,9;24,2
25/01/2024;2100 UTC;25,5;24,8
25/01/2024;2200 UTC;25,3;25
25/01/2024;2300 UTC;25,2;25
26/01/2024;0000 UTC;25,4;24,8
26/01/2024;0100 UTC;25,2;24,8
26/01/2024;0200 UTC;25,1;24,6
26/01/2024;0300 UTC;24,9;24,5
26/01/2024;0400 UTC;24,7;24,4
26/01/2024;0500 UTC;24,6;24,2
26/01/2024;0600 UTC;24,5;24,2
26/01/2024;0700 UTC;24,4;24,2
26/01/2024;0800 UTC;24,3;24,1
26/01/2024;0900 UTC;24,1;23,9
26/01/2024;1000 UTC;24,3;23,9
26/01/2024;1100 UTC;24,8;24,3
26/01/2024;1200 UTC;26;24,6
26/01/2024;1300 UTC;28,1;26
26/01/2024;1400 UTC;29,3;27,7
26/01/2024;1500 UTC;30,3;28,7
26/01/2024;1600 UTC;31,5;30,2
26/01/2024;1700 UTC;31,5;26,5
26/01/2024;1800 UTC;27;24,6
26/01/2024;1900 UTC;26,1;24,7
26/01/2024;2000 UTC;26,2;25,5
26/01/2024;2100 UTC;27,2;26,2
26/01/2024;2200 UTC;27,1;26,2
26/01/2024;2300 UTC;26,2;25,6
27/01/2024;0000 UTC;25,7;25,3
27/01/2024;0100 UTC;25,5;24,9
27/01/2024;0200 UTC;25,3;24,8
27/01/2024;0300 UTC;25,2;24,3
27/01/2024;0400 UTC;24,3;23,9
